,,,,,,,,,,,,,,,
المحافظة,عدد الأسر,عدد الافراد الكويتيون,,,عدد الافراد غير الكويتيين,,,جملة الافراد,,,,,,,
,,ذكر,أنثى,جملة,ذكر,أنثى,جملة,ذكر,أنثى,جملة,,,,,
 العاصمة,27486,70883,74171,145054,48981,60875,109856,119864,135046,254910,,,,,
 حولي,40766,94517,94195,188712,42386,71528,113914,136903,165723,302626,,,,,
 الأحمدي,34081,113422,112405,225827,32421,50943,83364,145843,163348,309191,,,,,
 الجهراء,20469,73274,72019,145293,25352,35257,60609,98626,107276,205902,,,,,
 الفروانية,34237,105824,106240,212064,38005,58761,96766,143829,165001,308830,,,,,
 مبارك الكبير,23528,76013,74518,150531,35802,55450,91252,111815,129968,241783,,,,,
جملة الدولة,180567,533933,533548,1067481,222947,332814,555761,756880,866362,1623242,,,,,
,,,,,,,,,,,,,,,
