,,,,,,,,,,,,,,,,,,,,,
المحافظة , العاصمة,,, حولي,,, الأحمدي,,, الجهراء,,, الفروانية,,, مبارك الكبير,,,الجملة,,
نوع التكييف,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد
مركزي,23,52,1205,32,54,1272,65,560,10787,19,86,1459,38,358,6794,1,1,18,178,1111,21535
وحدات,1120,1177,12566,1662,1716,16103,2133,5668,105976,827,1193,20634,3564,5394,106084,61,132,3143,9367,15280,264506
مختلط,2,2,20,2,2,19,4,4,39,1,1,18,9,9,84,0,0,0,18,18,180
جملة الدولة,1145,1231,13791,1696,1772,17394,2202,6232,116802,847,1280,22111,3611,5761,112962,62,133,3161,9563,16409,286221
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
