,,,,,,,,,,,,,,,,,,,
حجم الأسرة,فرد واحد,2,3,4,5,6,7,8,9,10,11,12,13,14,15فأكثر ,جملة ,,,
عدد الأسر,85413,69151,64277,64501,47381,31738,25146,22867,21378,23797,15775,16700,6814,5518,18208,518664,,,
ذكر,73191,93210,123366,153348,135542,96367,84896,86483,90102,113101,80803,93866,41566,36133,166724,1468698,,,
أنثى,12222,45092,69465,104656,101363,94061,91126,96453,102300,124869,92722,106534,47016,41119,181862,1310860,,,
جملة ,85413,138302,192831,258004,236905,190428,176022,182936,192402,237970,173525,200400,88582,77252,348586,2779558,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
