,,,,,,,,,,,,,,,,,,,,,
المحافظة , العاصمة,,, حولي,,, الأحمدي,,, الجهراء,,, الفروانية,,, مبارك الكبير,,,الجملة,,
نوع التكييف,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد
مركزي,21610,23416,185324,93971,101455,475435,42455,45427,224842,13799,15336,121111,50671,55499,303823,13450,14508,140080,235956,255641,1450615
وحدات,18251,19660,102630,40391,44143,157286,33349,36836,209567,26969,29593,232373,89294,98382,368380,9791,10629,88237,218045,239243,1158473
مختلط,2639,2876,23823,2863,3200,21263,3404,3875,35620,2456,2784,23167,4687,5289,31135,2240,2453,26960,18289,20477,161968
لايوجد,181,195,465,172,185,642,83,87,314,98,106,342,296,321,909,28,36,202,858,930,2874
جملة الدولة,42681,46147,312242,137397,148983,654626,79291,86225,470343,43322,47819,376993,144948,159491,704247,25509,27626,255479,473148,516291,2773930
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
