,,,,,,,,,,,,,,,,,,,,,
المحافظة , العاصمة,,, حولي,,, الأحمدي,,, الجهراء,,, الفروانية,,, مبارك الكبير,,,الجملة,,
نوع التكييف,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد
مركزي,4741,5568,18866,64025,69640,237281,27825,29672,92685,5142,5983,31207,32813,36075,130174,1187,1424,5017,135733,148362,515230
وحدات,11092,12084,35177,33586,36995,109110,19788,21601,64864,18058,19944,132905,77878,85617,254137,2333,2534,8073,162735,178775,604266
مختلط,729,854,3116,1245,1449,5283,716,824,3614,1159,1352,6917,2875,3306,10649,90,133,645,6814,7918,30224
لايوجد,156,169,289,135,148,457,62,66,172,84,92,235,261,286,654,5,12,20,703,773,1827
جملة الدولة,16718,18675,57448,98991,108232,352131,48391,52163,161335,24443,27371,171264,113827,125284,395614,3615,4103,13755,305985,335828,1151547
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
